user_id,item_id
81,"1290,7120,4929,789,2916,5135,3697,12497,6243,9962,13309,13101,8567,296,4387,5573,11117,4777,12030,10336,9866,10607,1400,12474,7817,10644,1977,1244,3737,10147"
85,"6220,5545,2218,7707,13296,3870,9942,1978,12606,8562,9072,2343,4277,8188,13110,350,3428,1210,12665,11969,10835,4256,5199,2140,13112,6659,5495,1328,5532,810"
92,"1290,10607,789,7120,5135,9962,11298,4163,2957,4664,11024,296,4216,10674,1851,10389,10336,4576,6610,13309,2916,3539,9295,10663,4929,11775,9732,10648,3697,10581"
97,"2140,5303,6220,2218,6971,10326,8421,13296,5999,8562,4277,12990,8590,8235,9072,5545,3950,4798,2343,4413,10835,7723,2380,9799,7063,9580,7707,3870,331,1912"
100,"2218,5303,2140,10326,8562,8421,4277,6220,12990,6971,5999,4679,4798,9072,7063,13296,13346,7138,3870,811,11843,9580,3950,220,5545,1912,10916,7707,6326,11000"
112,"2218,5545,6220,1978,350,13110,1210,9178,9942,9072,9341,8188,3428,3992,7707,1017,4277,4256,3870,12404,13112,810,1165,11969,8279,992,9455,4679,8562,6659"
122,"5303,4277,2140,6971,6220,13296,10326,12990,331,851,8590,9799,1290,2218,4798,5999,9580,2343,10835,2789,9072,8562,4117,2380,11282,8161,5545,10916,6326,5485"
133,"4256,6060,6402,6659,10352,5760,5105,8540,5545,9375,1377,3464,5027,6306,8188,11590,11771,10441,5494,6150,2770,8092,2769,9817,6640,6220,6952,13111,6082,4097"
141,"1290,6220,8590,7120,6971,2343,4576,13296,544,11969,5545,4664,89,5303,10607,2916,8922,2140,9072,10326,296,10663,10835,7707,4929,11024,4277,8235,9942,8714"
144,"6971,2218,5303,8590,6220,2140,10326,13296,4277,1290,8421,8562,4798,9072,12990,9942,8922,7138,544,7707,7063,9580,5485,5999,2343,275,560,811,1634,2380"
149,"7679,3464,2769,10674,13431,9732,11298,11024,4216,9730,10607,4664,83,3487,12096,6610,2989,11775,4576,11918,3222,2957,1851,10389,4163,8475,1779,12903,10648,420"
153,"6220,2218,4277,5303,2140,13296,10326,9072,2343,5545,8421,6971,12990,8590,8562,1978,7707,10835,5532,9942,5485,4798,4679,1017,7138,5199,544,5999,11969,11384"
166,"5760,162,6060,8540,7220,5105,10739,10732,8911,9482,6640,10352,13111,10441,6150,4029,5786,10974,11461,6402,1219,1213,13383,5027,6011,6952,1521,449,5249,173"
220,"5303,2140,6220,8421,6971,10326,4277,5999,12990,2218,8562,4798,13296,5545,9072,331,4413,9580,4117,2789,10835,2343,851,8235,9799,8590,6326,5532,7707,2380"
231,"4277,2218,2140,5303,6220,8421,10326,5545,8562,12990,9072,4679,13296,1978,7063,4798,3870,3950,13346,5999,7707,6971,7138,11000,2343,10916,4117,11843,11384,10835"
262,"1290,7120,8590,6971,6220,2343,544,2218,13296,4576,11969,4277,10663,5303,2140,4929,4664,789,10326,9962,9072,2916,5135,10607,296,8922,89,12497,5485,11024"
274,"4277,6220,8421,1290,13296,6971,2140,2343,8590,9072,2218,10326,12990,11969,5545,5485,10835,851,544,331,4117,7707,4798,9799,8562,5199,1978,7120,5532,12665"
277,"1290,6220,4277,6971,2343,2140,5303,8590,13296,8421,10326,10835,7120,9072,5545,9799,2218,331,4117,12990,8235,5532,8922,4929,5999,10663,4798,851,11969,544"
281,"1290,7120,9962,789,5135,10607,3697,13309,11298,4163,10663,296,2916,4929,2957,10674,10336,6811,9295,3539,4664,6610,12497,1851,4216,11024,10648,83,4036,10147"
291,"2218,6220,10326,5545,2140,8562,5303,9072,4277,1978,7063,3950,3870,9942,13110,12990,4798,8421,7138,7707,4679,13296,11000,11384,13346,220,12404,1017,6971,5532"
300,"6220,4277,5303,2140,2218,13296,8421,2343,9072,10326,6971,12990,7707,8590,10835,8562,1978,4798,5199,5485,4117,5532,331,11969,1210,544,1017,2380,560,9942"
310,"6220,2218,5545,2140,4277,10326,5303,9072,13296,7707,8421,1978,8562,2343,3950,3870,12990,10835,5532,9942,6971,11384,4798,5199,13110,7063,13346,1210,7138,4117"
332,"10434,12104,10566,9998,2291,4877,9306,6971,7063,9771,4740,3672,1719,10462,10326,1996,2140,5999,4452,2218,7138,9733,5303,12026,5946,11396,5747,37,8922,4798"
344,"5303,2140,2218,8421,4277,10326,6971,6220,12990,4798,8562,5999,9072,13296,9580,7063,4679,10916,7138,331,851,8590,12857,2380,5545,8161,811,13346,220,10835"
359,"1290,7120,10607,789,9962,5135,296,4664,4576,10663,2916,4929,11298,6610,13309,11024,3697,12497,10674,11775,9295,10389,1779,4036,1244,10336,10648,3539,8590,10137"
380,"2218,6220,5545,3870,8562,9942,7707,1978,3950,13110,10326,9072,350,3428,2140,9178,220,3992,13296,7063,4277,5303,1210,13346,64,11000,3799,12606,9341,11384"
386,"6220,2218,4277,2140,13296,5303,8421,10326,2343,9072,8562,7707,10835,12990,6971,8590,1978,9942,3870,5532,4117,5199,3950,4798,5485,544,11969,1210,4679,5999"
426,"6220,2140,2218,5303,8421,5545,4277,10326,8562,7707,12990,3950,13296,9072,3870,1978,4798,10835,4117,5199,6971,5999,6326,4413,13346,2343,8235,5532,11384,1912"
436,"4277,6220,2140,8421,6971,13296,10326,12990,8590,851,331,4798,9072,5545,1290,2343,9799,8562,5485,10835,7707,2380,1978,9580,5999,4117,5199,560,10916,544"
453,"2218,6220,5545,1978,4277,9072,7707,1210,9942,13110,3870,10326,8562,5303,2140,13296,350,1017,9178,3428,9341,2343,3950,4679,5199,8421,12404,5532,3992,12990"
461,"7120,4929,10663,789,9962,2916,12497,13309,3697,6243,296,8567,13101,12030,10336,4387,10607,11117,5573,4777,9866,1400,1244,6811,6971,8590,10147,6610,1977,4664"
464,"5545,2218,1978,6220,13110,350,9178,3992,3870,3428,7707,9072,1210,3950,8562,9942,220,1017,4277,4256,9341,1383,1328,10326,7063,13112,11000,8188,4679,2140"
473,"5545,2218,6220,13110,3992,9178,1978,350,8188,4256,9942,3870,9072,1210,7707,9341,6402,64,3428,7063,3950,810,1017,6659,8562,1328,1165,11800,5155,11000"
481,"6220,5303,4277,6971,2140,1290,2218,8590,13296,8421,2343,10326,9072,5545,10835,7707,4798,11969,8562,7120,5485,331,5532,9799,560,5999,4117,8922,1978,2380"
490,"5545,4256,2218,13110,1978,350,6402,8188,6659,6220,9178,3992,1210,3870,8540,3428,7707,6060,9942,1328,1377,5105,9375,11590,9341,5155,5760,8092,64,13112"
494,"6220,2140,5303,2218,4277,6971,10326,13296,8421,5545,2343,8590,9072,10835,8562,7707,12990,4798,5999,5532,8235,4117,5199,331,5485,1978,9799,9942,1290,4413"
497,"1290,7120,10607,789,9962,5135,4664,296,11298,4576,2916,10674,6610,10663,11024,10389,4929,2957,4163,11775,13309,9295,10336,12497,3539,10648,9732,4216,3697,1851"
510,"5545,6220,2218,1978,4277,9072,7707,1210,13110,3870,2140,8562,350,10326,9341,13296,2343,3428,9942,5303,1017,3950,10835,8421,12990,5199,5532,9178,9455,4679"
511,"2140,5303,6971,8421,5999,10326,2789,4798,9306,4413,2291,12857,9580,8161,9799,1180,331,851,3950,11540,6326,8562,8235,12990,11282,10916,10340,7723,12026,11622"
512,"7679,3464,2769,13431,10674,9732,3487,11024,9730,4664,11298,4216,2989,4576,10607,12096,6610,11775,8714,3222,83,11918,10389,7047,11969,8475,12995,1779,12903,2957"
524,"1290,9962,789,5135,7120,10607,4163,2957,11298,4216,10674,11024,4664,1851,6610,9295,3539,3697,296,83,10336,11775,10648,10389,6811,10581,9960,2916,9732,10663"
525,"4277,2218,5545,2343,2140,5303,13296,9072,8421,7707,1978,10326,10835,12990,1210,8562,5199,5485,6971,4117,9942,8590,11969,5532,1017,12665,4679,544,3870,331"
545,"5303,2140,8421,6971,10326,6220,4798,4277,2218,12990,5999,8562,9580,13296,331,9799,8161,2380,2789,8590,3950,7063,8235,4413,10916,6326,5545,1912,12857,7138"
560,"6220,5303,2140,8421,2218,10326,13296,6971,12990,5545,8562,9072,4798,7707,2343,331,1978,8590,10835,851,5999,4117,5485,9580,5532,5199,6326,7138,560,10916"
564,"6220,2218,4277,9072,5303,2343,5545,13296,2140,8421,10326,1978,6971,12990,7707,8562,9942,9341,5485,1210,8590,10835,1017,11969,5532,4679,544,5199,12404,9340"
566,"2218,6220,5545,7707,3870,1978,2140,3950,4277,8562,350,10326,5303,13296,13110,9942,9072,1210,8421,4602,5199,3428,12606,1328,4414,10835,8235,4798,9729,7063"
568,"6220,5545,2218,4277,2140,7707,5303,1978,13296,8421,9072,10326,2343,8562,10835,3870,5199,12990,3950,1210,5532,4117,350,4798,1017,9942,13110,11384,4602,8235"
570,"6220,2218,5545,2343,7707,2140,13296,8235,10326,9072,3950,10835,3870,8562,4277,1978,5303,5532,8590,4413,9942,12606,7723,5199,4117,5495,3428,6971,1017,12665"
573,"2218,6220,4277,5303,8421,2140,12990,8562,10326,13296,811,4679,6971,9072,5545,4798,9942,1978,7063,12404,7138,8590,5485,7707,992,11384,13346,10916,3870,220"
594,"2218,6220,5545,2140,10326,5303,8562,4277,9072,8421,7707,1978,3950,13296,3870,4679,12990,7063,9942,2343,4798,1210,6971,13346,10835,220,5532,5999,5485,5199"
601,"2218,6220,5545,7707,1978,9942,8562,13296,2140,3870,4277,9072,10326,5303,13110,2343,3950,350,10835,12990,1210,8590,1017,5532,7063,544,8421,811,4679,3428"
605,"2140,5303,6220,8421,2218,10326,4798,3950,8562,5545,4277,12990,6971,5999,13296,3870,7707,4413,7063,8235,10835,9072,11384,331,6326,4117,2380,1912,1978,13346"
641,"6220,2218,4277,2140,2343,13296,9072,10326,1978,7707,5303,8562,10835,8421,9942,3870,5532,12990,1210,13110,5199,3950,11969,8590,1017,9341,9455,4117,4679,544"
650,"2218,6220,4277,5545,1978,5303,2140,8562,7707,10326,9072,8421,9942,13296,350,1210,12990,13110,3950,4679,811,4798,9178,12404,7063,1017,9341,13346,220,992"
675,"2218,6220,5545,4277,1978,10326,9072,7707,8562,13296,5303,9942,3870,2343,3950,13110,8421,10835,12990,350,5532,7063,1210,1017,11384,4679,8590,9455,7138,5199"
677,"1290,7120,4929,10663,789,9962,3697,2916,13309,12497,4387,5573,296,8567,13101,12030,11117,10336,9866,4777,6811,10607,10147,12474,1977,1400,1244,9405,3737,10644"
679,"2218,6220,2140,5303,4277,5545,10326,13296,9072,8562,8421,1978,7707,6971,12990,2343,3870,9942,8590,4798,7063,10835,4679,3950,7138,5532,11384,5485,1017,5199"
683,"5545,2218,6220,1978,4277,9072,7707,1210,13110,3870,350,3428,2140,1017,8562,10326,5303,13296,9341,9942,3950,9178,5199,2343,3992,8421,4602,4679,1328,12990"
687,"6220,5303,2140,2218,8421,6971,10326,13296,9072,2343,5545,12990,8590,8562,7707,10835,4798,1978,331,5999,5485,5532,4117,9580,5199,4679,851,9942,7138,11384"
705,"2218,6220,5303,2140,10326,8421,4277,8562,5545,6971,4798,12990,7063,9072,13296,7138,1978,13346,220,3950,4679,3870,5999,11384,7707,9942,2380,8590,11000,1912"
708,"1290,7120,10663,789,2916,5135,296,9962,12497,6243,13309,3697,8567,10607,13101,12030,10336,8590,4387,5573,11117,6971,1244,4777,4576,4664,6610,1400,9866,9295"
712,"2218,6220,2140,10326,5545,5303,8562,9072,4277,7063,8421,3950,1978,12990,3870,4798,13346,4679,13296,6971,9306,220,5999,11000,7707,7138,11384,5532,1912,2343"
715,"2218,6220,2140,5303,10326,8562,7063,8421,12990,3950,5545,4798,3870,4277,6971,220,13346,4679,5999,13296,9072,7138,7707,11000,4413,11384,9942,1978,6326,2380"
728,"1290,7120,10607,4576,11024,789,9962,10674,6610,11775,296,11298,5135,10389,9732,2916,9295,10663,11969,10648,8714,2989,544,3539,13309,2957,4163,1779,4929,12497"
743,"2218,6220,5545,4277,9072,2140,13296,1978,7707,10326,5303,2343,9942,8562,1210,3870,1017,8421,350,12990,9341,5532,13110,4679,10835,5485,3428,5199,11384,12404"
753,"6220,4277,2218,5545,2140,5303,9072,1978,10326,8421,13296,7707,2343,8562,12990,1210,10835,3870,5199,5532,1017,3950,9942,4679,9341,4798,11384,13110,350,4117"
757,"6220,2140,4277,5303,2218,10326,8421,6971,13296,9072,2343,5545,8562,8590,10835,7707,4798,5999,1978,4117,331,5485,5532,4679,9942,5199,7138,9580,2380,10916"
768,"2218,6220,5303,2140,4277,5545,10326,8421,8562,9072,1978,12990,13296,4798,3950,3870,7063,7707,220,4679,13346,11384,6971,9942,7138,1912,10835,811,5199,11000"
797,"5545,2218,6220,3870,13110,3428,7707,1978,3992,3950,4256,8562,8188,350,9072,3799,4602,5495,6402,13112,9942,1210,9178,1328,810,64,11590,6659,12606,9341"
813,"7637,1290,9799,6971,8703,7120,8922,2140,8235,8590,12030,5303,5549,9668,2020,4698,4101,4413,9937,6166,4929,10663,8421,5149,4947,12026,12663,5573,6243,12680"
832,"6220,2343,13296,544,11969,1290,2218,8590,4576,4277,7707,4664,5545,89,7120,3487,9072,1863,12665,6610,8714,10674,2140,10607,6971,2989,7679,9942,10835,11024"
833,"6220,5545,2218,9072,4277,2343,7707,13296,2140,8562,10326,5303,1978,10835,8421,5532,3870,5199,9942,9341,1210,12990,13110,4117,3428,3950,1017,810,11384,5485"
844,"2218,5545,3870,6220,5495,3799,9306,7707,8562,8235,10326,4413,3428,12606,11622,2140,4602,13110,12632,5532,3992,64,1978,7723,5610,12793,9072,5177,11800,9942"
858,"4277,6220,5303,2140,8421,2218,13296,6971,10326,9072,2343,5545,12990,8590,8562,10835,1978,4798,331,7707,5485,4117,5999,5199,851,5532,10916,2380,4679,9580"
874,"2218,6220,4277,5303,2140,10326,8421,9072,5545,13296,6971,12990,8562,1978,2343,4798,8590,7138,4679,7063,7707,10835,11384,9942,5999,5485,10916,331,1912,5532"
875,"6220,2218,4277,5545,2140,5303,9072,10326,13296,7707,1978,8562,9942,2343,8421,12990,1210,1017,3870,4679,10835,5485,5199,5532,350,9341,8590,811,4798,12404"
892,"6220,2140,5303,2218,10326,8421,6971,13296,5545,7707,8562,4277,8235,8590,4413,12990,10835,4798,9072,9799,2343,3950,5999,4117,2380,5199,8922,7723,3055,560"
897,"2218,6220,2140,3950,10326,5303,8562,5545,3870,7063,4798,9306,7707,8421,4413,8235,220,13346,13296,12990,6971,4277,9072,1978,2291,11384,7138,12857,9942,11540"
912,"6220,1290,4576,2343,8590,89,7120,2218,1863,544,3487,4664,13296,9564,11969,6971,2989,10429,8714,1779,7707,5545,11775,4036,10607,11024,2140,8922,10835,9732"
924,"6220,2218,5545,2343,13296,9072,10326,8590,7707,2140,5303,4277,6971,11969,544,9942,5532,10835,8235,1978,8562,12665,1290,1017,89,5199,3950,8421,3870,4413"
926,"6220,2218,5545,7707,13296,2343,11969,9942,9072,544,4277,2140,5303,8590,89,10326,1978,12665,10835,1210,3487,1017,12606,8562,350,5199,8188,13110,3870,5532"
933,"6220,5545,2218,2343,4277,9072,13296,7707,1978,2140,10326,5303,10835,9942,8562,1210,5532,1017,13110,3870,11969,8421,544,12665,5199,8590,350,12990,9341,3428"
944,"2140,5303,8421,6220,4277,8235,10326,6971,9799,13296,5545,7707,331,12990,8562,10835,2218,4798,4117,3950,5999,851,2789,5199,2343,2380,6326,3055,8590,9580"
951,"5303,6971,2140,8421,4277,10326,6220,2218,12990,13296,851,5999,4798,8590,331,9799,9580,2789,8562,1290,9072,2380,8161,11282,10916,2343,6515,10835,5485,1912"
974,"2218,6220,5545,7707,9072,10326,2343,2140,13296,9942,1978,8562,4277,5303,3870,1017,13110,5532,8590,3428,1210,544,3950,350,10835,12665,11969,4679,12990,7063"
1010,"6220,2218,5545,8562,7707,10326,2140,9072,3870,3950,1978,5303,9942,3428,13110,4277,13296,8421,5532,1210,1017,350,3992,4602,2343,12990,4679,5199,7063,12606"
1013,"2140,6220,5303,7707,13296,8421,10326,2218,5545,4413,6971,3950,9799,10835,8562,8590,4277,4117,2343,7723,12990,3870,4798,11622,8922,3055,5999,5199,331,2380"
1016,"2218,6220,2140,5303,8421,10326,4277,6971,5999,8562,9072,12990,5545,13296,2343,10835,4798,3950,5532,7723,3870,11384,8590,4117,9580,7707,11843,331,2789,7138"
1023,"2140,5303,6220,8421,4277,6971,13296,9799,8590,10326,1290,12990,2218,4798,331,851,5545,4117,7707,10835,2343,8235,2380,8562,5999,2789,9580,9072,8922,5199"
1035,"6220,2343,2218,1290,13296,5545,4277,6971,8590,2140,5303,9072,10326,10835,544,11969,7707,5532,8421,7120,12665,8235,4117,1978,5199,12990,9942,4576,8562,7723"
1046,"1290,7120,6971,8590,6220,2343,4277,2218,5303,13296,2140,4929,544,10663,10326,2916,11969,9072,12497,296,8421,4576,10835,8922,789,10607,4664,8567,5532,5545"
1051,"6220,2218,2343,5545,13296,4277,9072,11969,8590,544,5303,2140,7707,1290,10326,6971,9942,1978,10835,12665,5532,8421,1017,1210,89,5485,8562,5199,12990,4576"
1057,"6220,4277,5303,2140,8421,2218,6971,10326,13296,2343,12990,9072,5545,8562,10835,4798,4117,8590,5999,331,7707,1978,5485,5199,851,5532,8235,9580,4413,6326"
1064,"1290,7120,4929,10663,6971,2916,6243,12497,3697,8567,12030,789,4387,13309,13101,9962,5573,296,5135,8590,4777,8922,11117,1400,12474,10336,9799,10607,5303,8302"
1080,"2218,6220,5303,2140,10326,5545,6971,4277,13296,9072,8562,8421,7063,12990,8590,4798,2343,7138,1978,3950,5999,7707,8235,11000,9942,13346,4679,5532,11384,10835"
1089,"6220,2140,2218,5303,4277,10326,6971,13296,8421,2343,9072,8590,5545,8562,12990,7707,10835,4798,5999,1978,331,5532,5485,4117,7138,8235,5199,3950,4679,3870"
1090,"2218,6220,2140,5303,10326,8562,5545,4277,8421,9072,12990,7063,13296,3950,4798,6971,3870,7707,1978,220,13346,4679,5999,7138,11000,9942,11384,10835,4413,5532"
1103,"6220,2218,5303,4277,2140,8421,10326,6971,13296,5545,9072,8562,12990,2343,7707,10835,5999,8590,4798,5532,9942,1978,7138,5199,11384,5485,13346,3870,12404,9341"
1123,"1290,7120,9962,3697,789,5135,10663,4929,2916,13309,12497,10607,296,12030,11117,6243,4387,5573,13101,10336,4664,6811,11298,1244,8567,1977,9866,4036,3539,11775"
1134,"2218,6220,2140,5303,10326,4277,8562,5545,8421,12990,9072,1978,7063,3950,3870,13296,4798,4679,7707,6971,13346,220,7138,11384,5999,11000,9942,2380,1912,10835"
1136,"2218,5545,2140,4277,5303,8421,13296,10326,7707,8562,9072,1978,3950,10835,12990,2343,3870,4798,6971,5199,5532,8590,11384,9942,7138,1210,4117,13110,8235,13346"
1139,"3487,6220,7707,13296,1863,7679,2343,3464,544,89,5545,11969,4576,2218,2769,4664,10429,6659,8590,12339,5976,12606,10674,7792,1377,4277,247,6060,7706,9730"
1154,"6220,2218,2343,4277,13296,9072,5303,7707,11969,2140,544,1978,9942,10326,8590,1017,10835,1210,12665,6971,8562,8421,5532,5485,9341,12990,5199,13110,350,3870"
1169,"6220,4277,5303,2343,2140,2218,5545,1290,8590,8421,6971,9072,7707,10326,11969,544,10835,12990,1978,12665,5485,4117,5199,5532,8562,9942,331,1210,560,4798"
1173,"2218,6220,4277,5545,7707,9072,13296,2343,9942,1978,1210,2140,8562,350,10326,1017,5303,11969,544,3870,13110,3428,5485,811,8188,4679,12665,5532,5386,13112"
1178,"2218,6220,5545,4277,1978,9072,5303,10326,8562,2140,1210,9942,9178,9341,7707,4679,350,13110,3870,1017,13296,12404,8421,7063,12990,811,992,11000,220,9340"
1190,"6971,2140,5303,8421,5999,10326,6220,4277,2218,2789,12990,331,9580,8562,4798,851,13296,9072,4413,8590,2343,10835,10916,6326,9799,11282,11843,2380,7723,4117"
1205,"2218,6220,10326,2140,8562,3950,3870,5545,7707,9072,7723,4413,5999,5303,10835,2343,13296,8421,12990,5495,4602,5532,13346,8235,3428,11622,4679,4277,12793,7063"
1217,"1290,9962,7120,789,5135,10607,11298,4163,2957,13309,10674,4216,296,3697,6610,11024,9295,1851,4664,3539,2916,83,10663,10336,10648,6811,4929,11775,10581,4576"
1218,"1290,6220,2343,4576,8590,4664,544,7120,2218,11969,13296,89,10607,3487,1863,11024,8714,7679,11775,10674,7707,6610,9732,6971,5545,1779,9072,10389,2989,2140"
1230,"6220,2140,5303,6971,8421,4277,13296,10326,2343,2218,8590,9799,5545,12990,9072,10835,331,4798,4117,7707,8562,8235,2789,8922,4413,1290,5532,9580,851,2380"
1250,"5303,2140,6971,2218,8421,6220,10326,4277,4798,12990,8562,5999,13296,7063,851,9580,9072,8590,13346,2380,7138,4413,5545,10916,4679,12857,331,3950,6326,1912"
1252,"2218,4277,6220,5303,5545,9072,8421,8562,2140,10326,1978,12990,4679,13296,3870,2343,13346,1210,7138,9341,9942,7707,11000,7063,220,11384,811,5199,1017,10916"
1276,"2218,6220,5545,9072,4277,10326,5303,2140,8562,13296,2343,1978,7707,9942,12990,4679,8421,9341,5532,7063,3870,1210,7138,3950,6971,10835,1017,11000,220,13110"
1279,"1290,7120,4929,789,10663,9962,5135,3697,2916,13309,12497,6243,296,8567,4387,13101,10336,5573,12030,10607,9866,6811,4777,10147,1244,1400,1977,4163,12474,3539"
1281,"6060,6659,5105,5760,4256,8540,10352,6402,3464,5027,9375,6150,10441,2769,1377,13111,11771,9482,7047,6082,6952,10732,6306,2770,6640,1213,1521,5494,10974,4029"
1288,"2218,5545,6220,1978,3870,8562,4277,9072,10326,2140,5303,9178,3950,7707,220,9942,13110,1210,7063,4679,11000,13346,9341,3428,3992,350,12990,8421,1017,11384"
1305,"1290,7120,789,9962,5135,10607,11298,296,13309,3697,4163,10663,10674,2957,4664,6610,1851,2916,9295,10336,4929,6811,83,4576,4216,4036,11775,10389,10648,3539"
1320,"6220,2218,5545,2140,2343,10326,5303,9072,13296,4277,7707,6971,8421,8562,10835,12990,1978,5532,8590,9942,3950,3870,5999,8235,5199,4117,4798,7138,4413,7723"
1321,"2140,5303,6220,8421,4277,10326,6971,13296,12990,2218,4798,7707,5545,9799,4413,3950,5999,331,851,4117,9072,8590,9580,10835,6326,3055,560,5199,12857,2789"
1328,"6220,5545,2218,4277,13296,2343,7707,9072,1978,11969,5303,2140,544,9942,1210,12665,10835,8421,8590,10326,5199,350,8562,1017,5532,5485,4117,13110,89,3870"
1343,"5303,8421,6971,2140,4277,6220,851,9799,1290,331,10326,4798,12990,13296,8590,9580,5999,2789,2218,6515,11282,2380,10916,6326,4117,8562,10835,1912,1180,1776"
1345,"2218,6220,5545,8562,2140,4277,3870,7707,5303,10326,1978,9072,3950,8421,12990,13296,9942,4679,13110,7063,220,13346,350,3428,1210,811,11384,4798,5199,1017"
1374,"7120,789,9962,5135,10607,11298,4163,2957,3697,296,13309,10674,11024,2916,4216,1851,6610,10663,9295,4664,4929,10336,3539,10648,6811,11775,4036,4576,10389,10581"
1410,"11969,544,6220,7679,4664,11024,4576,2218,3487,2343,9732,3464,10674,10607,2989,9730,8714,13431,2769,6610,11775,5545,13296,10389,9942,1290,89,8590,12096,1779"
1414,"5303,8421,2140,6971,4277,10326,2218,12990,4798,6220,5999,851,9580,8562,8161,10916,331,7063,7138,2380,2789,6515,1912,13296,9072,12857,6326,11282,4679,13346"
1420,"2218,2140,6220,5303,6971,10326,8235,13296,8562,8421,3950,4413,5545,8590,7707,3870,5999,12990,4798,10835,4277,7063,2343,7723,9072,11540,2380,8922,7138,3055"
1440,"6220,2343,2218,5545,2140,13296,10326,4277,7707,9072,5303,6971,10835,8590,8421,8562,5532,8235,7723,4117,1978,12990,3870,544,3950,5199,9942,11969,12665,5999"
1441,"2218,5545,6220,7707,8188,1978,13110,9942,350,9072,4256,1210,6659,11969,2343,3428,1017,9178,12606,3870,9341,13296,3992,6402,4277,544,13112,1377,810,1165"
1443,"11298,7679,10607,4216,83,1851,11024,10674,2957,4163,2769,9732,9962,4664,13431,11775,10389,6610,5135,4036,1779,789,9295,8475,1290,9730,3464,10648,4576,10581"
1458,"1290,10607,9962,789,7120,5135,11298,4163,10674,2957,11024,4216,6610,4664,13309,1851,83,9295,10648,10389,296,11775,3539,4576,10581,3697,4036,6811,10336,9732"
1492,"6220,2218,5545,4277,5303,10326,7707,8421,9072,13296,8562,1978,3870,3950,12990,10835,2343,5199,9942,4798,11384,5532,1210,6971,13110,4117,4679,7063,1017,13346"
1496,"5303,6971,8421,4277,9799,851,1290,331,2789,5999,6220,10326,4798,12990,13296,9580,8590,8161,11282,2380,2218,10916,12680,1180,6326,8562,11357,4117,10835,4413"
1499,"2218,6220,5545,4277,7707,9072,1978,9942,1210,13296,350,13110,9341,8562,1017,9178,3870,3428,2343,5303,10326,13112,8188,12404,2140,11969,5199,810,4679,811"
1504,"1290,7120,789,9962,10607,5135,296,10663,4664,2916,4929,13309,6610,11298,10674,11024,12497,10389,3697,10336,10648,11775,9295,4163,3539,2957,1779,1244,10581,4036"
1516,"6220,2769,3464,5545,3487,2343,11969,6659,4256,544,7679,2218,5105,10352,6060,7707,8188,6402,13296,1978,11590,1377,11771,4277,4576,4664,9375,5760,6082,8540"
1523,"2218,2140,6971,6220,10326,5303,8590,7063,8562,8421,4798,5999,13296,5545,12990,7138,8235,3950,9072,4277,4413,2291,2343,8922,9306,13346,9580,2380,5532,11384"
1534,"5760,6060,10352,5105,6011,162,8911,10739,449,10441,10974,6402,1213,8540,4399,10732,5027,6082,6640,6952,6150,6306,4832,13111,12458,5786,5249,4641,9482,173"
1539,"6220,2218,2343,11969,5545,544,9072,4277,13296,9942,8590,1978,7707,4576,9341,1290,1210,12665,13110,5532,1017,10326,5303,4664,10835,6971,5485,12404,89,350"
1559,"4277,6220,5303,2140,13296,2218,8421,2343,6971,10326,9072,5545,8590,12990,10835,7707,1978,1290,8562,331,5485,4117,4798,5199,5532,851,544,9799,11969,5999"
1572,"6220,2218,5545,7707,9072,2140,13296,1978,9942,3870,10326,5303,8562,3950,13110,8590,4277,13346,1210,8235,5532,350,7063,2343,12665,10835,12606,8421,3428,4413"
